"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"6129","부산광역시 남구 우암동","46","0046","0000","우암대진","49.1400","202605","09","13,800","-","5","개인","법인","1986","우암로154번길 18","-","중개거래","부산 남구","-"
"6130","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","49.9800","202605","09","52,500","-","14","개인","개인","1994","금상로 134","-","중개거래","경기 성남시 중원구","-"
"6131","경기도 성남시 중원구 하대원동","190","0190","0000","현대","120.4100","202605","09","78,000","-","9","개인","개인","1995","시민로28번길 6","-","중개거래","경기 성남시 중원구","-"
"6132","울산광역시 남구 매암동","1421","1421","0000","한양아이클래스","72.4200","202605","09","17,000","-","20","개인","개인","2014","장생포고래로 249","-","중개거래","울산 남구","-"
"6133","광주광역시 서구 쌍촌동","1337-3","1337","0003","중흥에스-클래스","59.9854","202605","09","29,000","-","1","개인","개인","2006","상무민주로 104","-","중개거래","광주 서구","-"
"6134","경기도 광명시 하안동","682","0682","0000","주공1","36.1600","202605","09","42,000","-","15","개인","개인","1989","안현로 15","-","중개거래","경기 광명시","-"
"6135","경기도 광명시 하안동","682","0682","0000","주공1","49.9400","202605","09","60,000","-","11","개인","개인","1989","안현로 15","-","중개거래","경기 광명시","-"
"6136","경기도 화성시 동탄구 목동","489","0489","0000","동탄동원로얄듀크2차","84.9889","202605","09","65,500","-","19","개인","개인","2019","동탄순환대로19길 21","-","중개거래","경기 화성시 동탄구","-"
"6137","경기도 평택시 고덕동","2518-1","2518","0001","고덕국제신도시제일풍경채3차센텀","75.7246","202605","09","60,000","-","8","개인","개인","2023","고덕로 271","-","중개거래","경기 평택시","-"
"6138","서울특별시 중랑구 신내동","656","0656","0000","화성.두산아파트","66.9600","202605","09","65,000","-","11","개인","개인","1995","신내로 155","-","중개거래","서울 중랑구","-"
"6139","경기도 의정부시 장암동","37","0037","0000","장암1차푸르지오","84.6600","202605","09","46,000","-","10","개인","개인","2004","장곡로226번길 52","-","중개거래","경기 의정부시","-"
"6140","경기도 수원시 영통구 이의동","1344","1344","0000","자연앤힐스테이트","84.5300","202605","09","193,500","-","5","개인","개인","2012","도청로 65","-","중개거래","경기 수원시 영통구","-"
"6141","경기도 화성시 동탄구 장지동","966","0966","0000","금호어울림레이크","74.9700","202605","09","79,000","-","13","개인","개인","2018","동탄대로4길 17","-","중개거래","경기 화성시 동탄구","-"
"6142","경기도 이천시 부발읍 가산리","770","0770","0000","기영","58.1200","202605","09","8,400","-","4","개인","개인","2008","경충대로 1918-18","-","중개거래","경기 이천시","-"
"6143","서울특별시 중랑구 신내동","650","0650","0000","신내6대주","49.7700","202605","09","56,000","-","9","개인","개인","1996","신내로19길 42","-","중개거래","경기 하남시, 서울 중랑구","-"
"6144","서울특별시 성북구 길음동","1279","1279","0000","길음뉴타운1단지(래미안길음1차)","84.9600","202605","09","128,000","-","13","개인","개인","2003","길음로9길 40","-","중개거래","서울 성북구","-"
"6145","서울특별시 광진구 자양동","641","0641","0000","경남","59.9600","202605","09","125,000","-","18","개인","개인","1999","뚝섬로52길 71","-","중개거래","서울 광진구","-"
"6146","경기도 화성시 동탄구 여울동","971","0971","0000","동탄역반도유보라아이비파크7.0","73.4311","202605","09","119,500","-","38","개인","개인","2019","동탄광역환승로 63","-","중개거래","경기 화성시 동탄구","-"
"6147","서울특별시 성동구 행당동","347","0347","0000","대림e-편한세상","59.9600","202605","09","166,500","-","3","개인","개인","2000","행당로 79","-","중개거래","서울 성동구","-"
"6148","경기도 화성시 동탄구 석우동","56","0056","0000","신일유토빌","101.8570","202605","09","79,000","-","19","개인","개인","2008","동탄반석로 232","-","중개거래","경기 화성시 동탄구","-"
"6149","서울특별시 강서구 등촌동","687","0687","0000","등촌1,2단지주공아파트","41.8500","202605","09","71,500","-","8","개인","개인","1995","강서로68길 36","-","중개거래","서울 강서구","-"
